User:
anma2640
Hostname:
bhpc-c7-u7-2.rc.int.colorado.edu
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                36
On-line CPU(s) list:   0-35
Thread(s) per core:    1
Core(s) per socket:    18
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Xeon(R) Gold 6150 CPU @ 2.70GHz
Stepping:              4
CPU MHz:               2700.000
Computation started at:
Thu Jan 13 14:08:53 MST 2022
git commit: 907a9246ad6cc900389a686f74cb0f6d9b5ba2c5, branch: dqmc, compiled at: Thu Jan 13 13:55:52 MST 2022

nproc used: 36 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol",
        "numAct": "10"
    },
    "wavefunction": {
        "right": "rhf",
        "left": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "50000"
    },
    "sampling": {
        "seed": "918800",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "25",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "400"
    }
}

Number of orbitals:  50, nalpha:  5, nbeta:  5
Rankwise number of excitations     1    24   417  2578  7520 10364  7442  2512   411    24
Number of determinants 31294

Initial state energy:  (-5.180537,0)
Number of Cholesky vectors: 260
Using truncated Cholesky with 130 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-5.1822578,0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
    63     1.575e+01       -5.45863e+00     9.11253e+02      -5.207253152e+00        -5.210412659e+00        2.22e+04 
    64     1.600e+01       -5.04516e+00     8.92620e+02      -5.208638694e+00        -5.210342247e+00        2.25e+04 
    65     1.625e+01       -4.91060e+00     8.86640e+02      -5.211511113e+00        -5.210386583e+00        2.29e+04 
    66     1.650e+01       -6.78301e+00     9.73649e+02      -5.205874403e+00        -5.210206154e+00        2.32e+04 
    67     1.675e+01       -6.62992e+00     9.66244e+02      -5.206451174e+00        -5.210062832e+00        2.35e+04 
    68     1.700e+01       -4.36740e+00     8.62906e+02      -5.210122464e+00        -5.210064798e+00        2.39e+04 
    69     1.725e+01       -5.21867e+00     9.00423e+02      -5.212013837e+00        -5.210129607e+00        2.42e+04 
    70     1.750e+01       -5.96065e+00     9.34442e+02      -5.214123715e+00        -5.210262841e+00        2.46e+04 
    71     1.775e+01       -5.56776e+00     9.16243e+02      -5.215345639e+00        -5.210423822e+00        2.49e+04 
    72     1.800e+01       -6.26988e+00     9.48955e+02      -5.210485896e+00        -5.210425794e+00        2.52e+04 
    73     1.825e+01       -3.83011e+00     8.39976e+02      -5.211893452e+00        -5.210465926e+00        2.56e+04 
    74     1.850e+01       -5.00215e+00     8.90665e+02      -5.212940506e+00        -5.210535654e+00        2.60e+04 
    75     1.875e+01       -5.62180e+00     9.18682e+02      -5.209888139e+00        -5.210517366e+00        2.64e+04 
    76     1.900e+01       -5.58332e+00     9.16921e+02      -5.208270860e+00        -5.210455775e+00        2.68e+04 
    77     1.925e+01       -5.53568e+00     9.14751e+02      -5.211363727e+00        -5.210479948e+00        2.72e+04 
    78     1.950e+01       -5.19173e+00     8.99150e+02      -5.207797214e+00        -5.210411534e+00        2.77e+04 
    79     1.975e+01       -5.39220e+00     9.08221e+02      -5.205724142e+00        -5.210293823e+00        2.81e+04 
